Angular_Width,35.0,30.0,43.0,60.0,30.0,46.0,46.0,56.0,50.0,38.0,72.0,69.0,36.0,55.0,60.0,50.0,31.0,30.0,30.0,47.0,27.0,31.0,30.0,32.0,66.0,35.0,58.0,30.0,30.0,35.0,40.0,40.0,25.0,63.0,29.0,45.0,45.0,39.0,45.0,27.0,22.0,22.0,50.0,29.0,37.0,47.0,45.0,40.0,41.0,38.0,43.0,50.0,58.0,45.0,45.0,37.0,35.0,26.0,29.0,22.0,19.0,24.0,27.0,17.0,30.0,41.0,50.0,27.0,11.0,35.0,38.0,45.0,31.0,45.0,61.0,35.0,35.0,46.0,30.0,41.0,49.0,32.0,58.0,39.0,45.0,43.0,44.0,45.0,45.0,45.0,40.0,45.0,42.0,45.0,19.0,29.0,45.0
Velocity,920.0,950.0,830.0,1950.0,650.0,600.0,600.0,720.0,1507.0,1150.0,930.0,1020.0,301.0,815.0,2250.0,1364.0,535.0,730.0,730.0,650.0,570.0,447.0,450.0,825.0,1485.0,520.0,675.0,300.0,300.0,440.0,600.0,610.0,790.0,851.0,396.0,202.0,202.0,676.0,1400.0,236.0,917.0,917.0,296.0,576.0,354.0,1250.0,1155.0,329.0,567.0,744.0,861.0,780.0,850.0,483.0,350.0,243.0,487.0,375.0,386.0,260.0,309.0,471.0,594.0,262.0,232.0,1383.0,680.0,717.0,275.0,393.0,287.0,649.0,561.0,628.0,677.0,702.0,422.0,553.0,247.0,539.0,767.0,452.0,920.0,750.0,749.0,1204.0,1494.0,1651.0,635.0,901.0,934.0,729.0,466.0,523.0,786.0,467.0,782.0
Observed,470.0,510.0,500.0,540.0,470.0,390.0,430.0,390.0,580.0,370.0,450.0,450.0,370.0,440.0,680.0,440.0,410.0,500.0,420.0,390.0,380.0,390.0,430.0,360.0,520.0,520.0,410.0,430.0,430.0,350.0,430.0,400.0,480.0,490.0,490.0,510.0,540.0,360.0,600.0,390.0,380.0,380.0,390.0,370.0,460.0,610.0,550.0,490.0,500.0,510.0,430.0,500.0,440.0,370.0,420.0,390.0,360.0,360.0,410.0,330.0,410.0,470.0,450.0,380.0,330.0,440.0,510.0,410.0,340.0,380.0,390.0,480.0,370.0,460.0,410.0,380.0,460.0,520.0,380.0,440.0,490.0,380.0,650.0,490.0,450.0,520.0,550.0,480.0,450.0,380.0,500.0,490.0,430.0,510.0,440.0,370.0,460.0
Spheroidal,468.19820913422745,,,625.9800253942252,425.2204022835907,443.0810628371613,443.0810628371613,487.2489355556458,380.53125221137157,,511.2527427030489,487.85802130664416,377.2545223238712,473.04643122002255,493.87339511775406,485.3269096371686,470.96489175453826,402.49838803568997,402.49838803568997,384.81570275249805,436.9854696432282,485.58275323580784,366.51279452507794,465.4473716996558,522.9302677103534,414.26199255201993,551.6487278030658,,,505.07334906346443,405.0206893339143,524.2063096176443,443.7652643161391,490.52371110663717,,331.1045252260206,331.1045252260206,402.58260178000046,394.7995256122614,427.59742095359036,373.20891610726983,373.20891610726983,347.2012495905548,353.0807305791461,,425.67829878208784,490.3307418594429,448.24716654441517,351.6556055215435,469.9828186381968,437.9371133162013,638.2101609472907,530.2044217290508,473.32596337981676,361.3684844210598,302.2124743272723,405.3823444207831,398.78619725896215,379.71732282812,313.92865382180895,336.78830043990655,354.1135033584307,382.71617557472143,413.6139645630903,457.8435312845452,445.71267689593645,621.834227779252,436.1055197721247,,460.99742493018323,358.82315386366884,363.3907570022415,472.2437921074367,461.72480502350595,582.1076951425104,435.474105902178,,403.59470131312986,305.97450713256256,579.5609463172616,642.7687384517127,391.73528589054285,515.3868652922691,,,507.56161660416063,476.7693498185751,441.5033210571401,413.33533635834294,481.07128437360467,508.75975586854736,490.1645538420716,533.9952617420541,473.8102340785384,349.20744696830513,382.80268713310346,427.50971628614894
v_1.0h,402.611174751679,,,525.7582601584488,429.8477794254839,409.4837938620436,409.4837938620436,405.09073829041154,301.61475869359515,,338.85565617687297,291.4577425706199,416.32906358574775,371.6577003563663,422.4629590657746,400.28033881722257,422.32251850931436,344.72736366678106,344.72736366678106,329.21296640767264,418.2258768393487,481.97200928719525,322.96353316209434,413.6848173800158,401.19097130922927,387.2424376773698,437.85571245805994,,,480.96937694942693,302.38304179517866,474.13303277759803,422.7536902835963,367.1515614560682,,373.6610977923137,373.6610977923137,348.4899505084576,322.5380417447766,353.5992287890637,333.24925686451127,333.24925686451127,345.14736954372603,327.61247710940063,,378.21985140052004,427.41778520888914,537.6810201783902,345.5953268535184,405.3789363119853,363.8579932951738,488.1375617320413,395.5374102848437,435.4478920929121,328.05693382831305,305.03533643452124,385.096985942437,368.23984801657184,332.29883198237656,309.8803579653934,325.1613009162251,314.7528109865088,342.5347266809119,471.7652131197645,443.8904477310054,341.9680166462436,546.3100035371084,405.2786726738815,,472.22948744253114,403.1955399504982,321.1088534802059,413.8584630362072,325.7426452480827,414.4789697533605,385.10122877029727,,319.9347049502297,319.9950981694856,507.71490473476393,537.6319504213529,392.60604724624733,369.28860143042647,,,408.37305798625937,386.28103169979437,367.7064782975093,372.56285454897204,471.24800778121664,438.07324506183227,417.7026708655691,525.02901890102,399.1635798245046,328.7747872864634,328.19805110342753,327.3842106338886
v_1.5h,414.6730914279689,,,535.5795326973049,428.5707599650193,408.79910937379657,408.79910937379657,409.86688805154193,309.64140905346926,,345.7449151635432,298.5157658679381,414.89891637075397,376.7597853978838,430.473003514951,405.32265031771635,426.15110487757084,351.7187477294161,351.7187477294161,330.0964397425657,419.1145240052173,482.02788266009406,326.050558168506,420.337393646895,403.96688547211414,389.5300498822366,444.51996259077896,,,482.8295622069879,313.11762473817856,472.27143812300955,425.1316983797329,371.4873137059881,,373.1000457771081,373.1000457771081,351.7667638870338,330.34593742878803,355.59727467669563,342.1888407395856,342.1888407395856,345.19064645234283,329.2431482656977,,383.3064716771559,437.82155856800927,540.6694664976632,345.6345366469965,409.37573921541133,370.99727829220967,504.2235707128155,402.33960999467814,437.0025015176007,327.46272910674276,304.3762218766319,385.9416916361487,370.49238632986317,336.5505039101044,310.0296614609677,325.9413176988601,317.06962727922945,347.3499819126215,465.33321182002635,442.9443876925716,354.97716836397456,550.6015658979105,406.9861976431249,,471.4346589811678,402.49071589770074,323.2226162217625,418.566836161027,339.4582443553587,426.3790989764721,388.6457589735069,,324.3921980331047,320.07932175990334,513.4352748426784,549.5601748128308,390.7876497949279,379.843751525971,,,420.07551219959385,403.2354712602554,379.47708498856497,372.44832749668814,469.9904008527871,443.7801174177576,420.26513573742574,526.7608651648887,400.2095440070418,331.8736321934218,331.18317924058783,328.5412874095926
v_2.0h,423.4463786112904,,,545.9435960688967,426.75701414828245,408.4262821667076,408.4262821667076,415.9616217748385,317.57888490431964,,351.9428651042899,304.7093962905427,413.31675201716786,380.78358534286457,438.930551869669,411.9664991223698,431.0411352444462,358.0145547338437,358.0145547338437,331.3361819771558,420.22398518606235,482.1212177585707,329.07943969809105,426.6689145289556,404.4078020736504,390.6240881611602,450.3732759984624,,,484.62696810095787,322.30606418359014,471.6846813021832,427.6531388658761,377.1840282214032,,373.6901324834353,373.6901324834353,355.0072826735185,338.35795036204746,358.23989900067266,350.606902522373,350.606902522373,345.2344246111644,330.95064520153096,,387.36531497579256,445.96205529852614,543.3324333047789,345.67562326816636,413.83313029682256,377.1673750950376,518.4348086086565,409.3788836536972,438.1991574743112,327.3206570858754,303.7663052722011,386.91914390069246,372.24800728448065,340.90581518937506,310.05053747471067,326.8938316397165,319.90274665900057,352.8735675677767,459.62322325350266,442.0456410271316,370.4988706933176,555.0477426924326,409.7747187514057,,470.59993286548,401.4942322116758,325.3439479790816,423.8251560460843,351.10125310295297,436.7059728944643,393.4921505927166,,328.0418164330821,320.1476117492442,520.4825886831309,561.7781359630718,389.18819549537335,389.95533088294553,,,431.2384553790495,417.84830920522734,392.7906466106407,373.03547979086056,469.4553110730699,449.74834856674204,424.46068860829,528.7923566930872,403.165017547701,335.7575174219713,333.8946056378752,333.98624904193645
v_2.5h,430.7255408627349,,,555.2915433053678,425.80434536909456,408.8409623352781,408.8409623352781,417.6119941013749,329.41407112826676,,357.5956272294557,312.60432959305774,411.992678890607,385.5789257316195,448.8916044729663,419.27576168884485,434.4738094974864,363.934048017338,363.934048017338,332.4804285034047,421.40215796512666,482.2470761775565,331.99111367889356,430.6844284319921,407.8905243929956,391.70215574952164,455.6533796756806,,,486.34693020578885,330.35963704393214,472.53712429309354,430.9343450077541,381.4094768717249,,374.61492403181774,374.61492403181774,358.1751001913052,346.39965112644023,361.4954405820846,358.56563012396015,358.56563012396015,345.2786873297121,333.5085018696821,,390.6104349860954,453.15223568610605,544.6843649716313,345.73035631348426,418.41180011291374,382.87746354681093,530.9084472800057,416.2924228825668,439.80257863425334,327.57903019224534,303.2269152518006,387.5278857585238,374.50284277572393,344.551879418981,310.21566210255924,327.8509572977789,322.39338301127674,355.89097009412285,454.69184869291405,441.19721360295534,385.2726386434539,560.4093255651986,412.5282904160287,,469.7324445520801,400.4245493792498,327.4437643038392,428.6702131564022,361.1798436860297,445.8393457678544,396.5448862569815,,331.4712934399117,320.2018201828456,526.8209653457818,571.6025922266049,387.85284108771367,399.3846818334792,,,439.74838684717355,430.2201855628201,404.4879666885496,374.18963243540844,470.0428068029389,454.7339698465961,428.98414820347483,529.7818528551728,405.59909576616815,340.8501122336356,338.89553813348783,340.5838702767039
v_3.0h,436.87038835163185,,,562.4855517668152,425.1909940948907,409.2838961189428,409.2838961189428,422.6178323423671,332.9482829897392,,361.8504954452612,320.49455686814684,410.333337542509,390.26912898486376,454.5227028343795,426.79213422983344,437.71476797117475,369.5608947015388,369.5608947015388,333.9220306195157,422.74739943977454,482.3964620731506,334.097650330284,436.4763099318484,414.1581784838346,394.942624903108,460.4837234197227,,,487.98312197254455,337.51792667497466,474.34327960658874,432.951107147996,385.6047836973649,,375.7838060997559,375.7838060997559,361.2770277656378,354.37032953308795,364.98404652366133,366.2055325218659,366.2055325218659,345.3232888748631,334.4154422931285,,393.4709299128798,459.5604653914452,544.3500506568785,345.75533498016824,423.13165388740686,388.31067817539525,541.9881871187048,422.9824271477172,441.42207268757426,328.1559580858456,302.761500634496,388.8518165932989,376.7029263444245,348.8793879031589,310.27511213731185,328.4474788621593,325.56291101398864,360.41816179694894,450.4994725911992,440.39671861580086,393.56403951144176,563.5764672807101,415.98872525092656,,468.8291939547966,399.7406066963213,329.50291736385725,432.38860108313406,370.0590851816616,454.0322488315267,401.35589509943827,,334.8637423415825,320.23044803248666,529.8811343409038,576.4412812547987,386.79671978375507,405.91894182057945,,,449.99435037076125,440.6976909660292,410.7339704696244,375.2061811344523,469.6813763200862,460.97845504919127,433.519299864153,530.4661479081116,409.7253714327933,344.0021119800002,341.92539031250976,347.38564615881
v_3.5h,442.44591948060736,,,569.2703701675314,424.3137044712544,410.04116140807366,410.04116140807366,427.1162921438339,343.93411456563626,,366.80210319179264,326.70163759417323,408.53912784085486,394.0386051913401,462.8920848430694,432.89808550489846,440.7801705084599,374.9495645579537,374.9495645579537,335.79671735073543,424.1739202549246,482.5611334956308,337.57420768196647,441.98081478098067,419.8348782359965,395.9104158430402,465.02593815894625,,,489.53397579040035,343.9332077648894,476.7148199939291,436.31354135095796,391.0542936911103,,376.8114727315586,376.8114727315586,364.35903869984094,362.16448402658045,369.24176354901084,370.8002657777061,370.8002657777061,345.3681129217119,337.0271837476713,,396.2986685271442,465.2893295051174,543.8753725559767,345.86907876760176,427.7995659296461,393.5382014747401,551.9454970185615,429.37881143185194,442.1302342819804,328.96568784541324,302.3763913262084,389.4877329331333,378.34652088537405,350.94689365022083,310.34402762934064,329.39490390977534,328.7807192017132,364.40367831607847,446.93252658030536,439.6768518695685,407.11031726874813,568.5949411252222,419.5816599190987,,467.8979471665866,398.53766666773936,331.5087330889837,435.9637540444116,377.9830466782431,461.50221764392944,405.92433735167083,,338.8829915886998,320.23441843580576,535.2645690822751,584.0780502714459,385.99875968962954,416.37194978344263,,,459.8748934780835,449.802064919408,420.04896469081643,376.8206259462292,470.7271577241687,467.16147706153606,437.8839674548314,530.866253695265,413.92016236454714,349.1993205624233,344.918428618374,354.0591058457199
